Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Logo,Airtable Record ID,Linked Features,Linked Comparisons,Indexing,open-graph image
Audius Music,audiusmusic,67ffc18e35bd3d5ea88c077a,67fec1eb88ef3de9adf44551,68014a76b3f343f857391031,false,false,Thu Apr 17 2025 18:37:42 GMT+0000 (Coordinated Universal Time),Mon Apr 28 2025 15:54:53 GMT+0000 (Coordinated Universal Time),Mon Apr 28 2025 15:54:53 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/67fec1eb88ef3de9adf4455c/6802c1954e5d6fc2ec61ccd4_y7vxxCf97wWfwEsRoz9xpn3cAsel2_X60gFP4PQnzF8.webp,recEjkeRwzXt033ri,rec2a3kNcDEF6XqN7; rec92kLuzA4g8z2wT; recAQTVCqw9LEYR97; recAQeCfXGS85DzfQ; recBbrqR317WzI3on; recCzkCr6SvsPfREd; recH1SaEa6vxhiI1i; recLYyQOJiPcoEmkQ; recSJfccCZx507pog; recTza6bYF0gEoXVA; recYDCnkuGT3yoKep; recZ0h2evxkEYgYsl; recc0t3WyRiUojoNW; rech5QRYRwpcWrNc6; recnqk9KMsEVMemTK,recyttBMro8P4lOVw; rec9OUXDGclHCbitv; rec9wZuJYBk0pBLQ2; rec6zX60bzOBp5m1Q; recAAjv74vkt4mjnX; recInKhchLmdtmPMD; recLyDEImXPIiAPeW; recvqsPjetrSnFQIC; recUKhtyGm5kQCnUY; recFH0317VV0q8bRw; recNRujDloEtACFow; recevX6M6txOygRuG; recMyDQa14zdTOP9X; reci7UwX8EoExKfbP; audius-music-visualizer,noindex,
Spotify,spotify,67ffc18e35bd3d5ea88c077a,67fec1eb88ef3de9adf44551,68014a7857d1a736f307cd23,false,true,Thu Apr 17 2025 18:37:44 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 18:14:14 GMT+0000 (Coordinated Universal Time),Mon Apr 28 2025 15:54:57 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/67fec1eb88ef3de9adf4455c/6802c198cf8d0609b1efe254_IWZ1lcJOvgM44SvoFDAxhQ-SzNN_BD4-A5T-0sYEm_8.webp,recUEjYextDLNAKwu,rec2a3kNcDEF6XqN7; rec92kLuzA4g8z2wT; recAQTVCqw9LEYR97; recAQeCfXGS85DzfQ; recBbrqR317WzI3on; recCzkCr6SvsPfREd; recH1SaEa6vxhiI1i; recLYyQOJiPcoEmkQ; recSJfccCZx507pog; recTza6bYF0gEoXVA; recYDCnkuGT3yoKep; recZ0h2evxkEYgYsl; recc0t3WyRiUojoNW; rech5QRYRwpcWrNc6; recnqk9KMsEVMemTK,recLCrVh3LGLA5lKu; recTh6b4hWHpKlAys; recy4ux9wtbmewG9c; recGF87OPyHlG1i9B; receBiPJCCotmcoja; rectLpdxJzXa0XIK7; rectk0WwfZNlcCnH5; reckGlf5ZT6blrh9e; recXvsqqvEUIU1pAH; recBtlb404SPTeDo0; recFddriZLCjrlQ87; recfgF9sRIzwy3eoG; recAXKnPfKx84nMWo; rec3rO2fQtvMDs5Lh; spotify-visualizer,all,https://cdn.prod.website-files.com/67fec1eb88ef3de9adf4455c/680924ddae6ea4817aa4c0fb_DM0W-_NWe6vwpjOLizuaNvW2JDY4joVU5yEZIdgSGT4.png
SoundCloud,soundcloud,67ffc18e35bd3d5ea88c077a,67fec1eb88ef3de9adf44551,68014a7a3cec4c06326bad22,false,false,Thu Apr 17 2025 18:37:46 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 18:07:04 GMT+0000 (Coordinated Universal Time),Tue Jun 24 2025 18:07:04 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/67fec1eb88ef3de9adf4455c/6802c19b087bc55f9a37532b_TPcZC0fpDh--_HWFgLXPejJrU1quvQu3jfh9SUzg83U.webp,recSgn324I0El8A32,rec2a3kNcDEF6XqN7; rec92kLuzA4g8z2wT; recAQTVCqw9LEYR97; recAQeCfXGS85DzfQ; recBbrqR317WzI3on; recCzkCr6SvsPfREd; recH1SaEa6vxhiI1i; recLYyQOJiPcoEmkQ; recSJfccCZx507pog; recTza6bYF0gEoXVA; recYDCnkuGT3yoKep; recZ0h2evxkEYgYsl; recc0t3WyRiUojoNW; rech5QRYRwpcWrNc6; recnqk9KMsEVMemTK,recq2cGh83ML2yUNB; reciwWYe8unL4uDD0; recI6sxXuimsbfMKU; recwwUac1aVdWUS70; recy3seknpGTmKdpj; recm615nBbvupOT3y; rectZQGivV42XgbgC; reczFUGgEwOjhxaqA; recKKU7p83pmcG6jl; rec0E5PH66UHSmnt9; recrxjl1sWhKMnLlc; rechScGaLTLlOfDqf; rec7x9TZoVzKCFwt8; recxZ2KM29E5vp9qW; soundcloud-visualizer,all,https://cdn.prod.website-files.com/67fec1eb88ef3de9adf4455c/680924e014ec55f2a2456e12_oNhysC2FZoCUp3Yapd_WLmBVACtq9iZHCCB_TcB6ues.png
